GEO.id,Id
geo_id2,Id2
geo_display-label,Geography
hc01_vc01,Number; Total population
hc02_vc01,Percent; Total population
hc01_vc03,Number; Total population - SEX AND AGE - Male
hc02_vc03,Percent; Total population - SEX AND AGE - Male
hc01_vc04,Number; Total population - SEX AND AGE - Female
hc02_vc04,Percent; Total population - SEX AND AGE - Female
hc01_vc05,Number; Total population - SEX AND AGE - Under 5 years
hc02_vc05,Percent; Total population - SEX AND AGE - Under 5 years
hc01_vc06,Number; Total population - SEX AND AGE - 5 to 9 years
hc02_vc06,Percent; Total population - SEX AND AGE - 5 to 9 years
hc01_vc07,Number; Total population - SEX AND AGE - 10 to 14 years
hc02_vc07,Percent; Total population - SEX AND AGE - 10 to 14 years
hc01_vc08,Number; Total population - SEX AND AGE - 15 to 19 years
hc02_vc08,Percent; Total population - SEX AND AGE - 15 to 19 years
hc01_vc09,Number; Total population - SEX AND AGE - 20 to 24 years
hc02_vc09,Percent; Total population - SEX AND AGE - 20 to 24 years
hc01_vc10,Number; Total population - SEX AND AGE - 25 to 34 years
hc02_vc10,Percent; Total population - SEX AND AGE - 25 to 34 years
hc01_vc11,Number; Total population - SEX AND AGE - 35 to 44 years
hc02_vc11,Percent; Total population - SEX AND AGE - 35 to 44 years
hc01_vc12,Number; Total population - SEX AND AGE - 45 to 54 years
hc02_vc12,Percent; Total population - SEX AND AGE - 45 to 54 years
hc01_vc13,Number; Total population - SEX AND AGE - 55 to 59 years
hc02_vc13,Percent; Total population - SEX AND AGE - 55 to 59 years
hc01_vc14,Number; Total population - SEX AND AGE - 60 to 64 years
hc02_vc14,Percent; Total population - SEX AND AGE - 60 to 64 years
hc01_vc15,Number; Total population - SEX AND AGE - 65 to 74 years
hc02_vc15,Percent; Total population - SEX AND AGE - 65 to 74 years
hc01_vc16,Number; Total population - SEX AND AGE - 75 to 84 years
hc02_vc16,Percent; Total population - SEX AND AGE - 75 to 84 years
hc01_vc17,Number; Total population - SEX AND AGE - 85 years and over
hc02_vc17,Percent; Total population - SEX AND AGE - 85 years and over
hc01_vc18,Number; Total population - SEX AND AGE - Median age (years)
hc02_vc18,Percent; Total population - SEX AND AGE - Median age (years)
hc01_vc19,Number; Total population - SEX AND AGE - 18 years and over
hc02_vc19,Percent; Total population - SEX AND AGE - 18 years and over
hc01_vc20,Number; Total population - SEX AND AGE - 18 years and over - Male
hc02_vc20,Percent; Total population - SEX AND AGE - 18 years and over - Male
hc01_vc21,Number; Total population - SEX AND AGE - 18 years and over - Female
hc02_vc21,Percent; Total population - SEX AND AGE - 18 years and over - Female
hc01_vc22,Number; Total population - SEX AND AGE - 21 years and over
hc02_vc22,Percent; Total population - SEX AND AGE - 21 years and over
hc01_vc23,Number; Total population - SEX AND AGE - 62 years and over
hc02_vc23,Percent; Total population - SEX AND AGE - 62 years and over
hc01_vc24,Number; Total population - SEX AND AGE - 65 years and over
